raw_designation,normalized_term,pad_category,source_section,source_page,status,notes
AUTRES PRODUITS MINERAUX,autres produits mineraux,T12,2.3.2,16,new,
AUTRES PRODUITS MINERAUX NDA,autres produits mineraux nda,T12,2.3.1,11,new,
BETON,beton,T12,2.3.2,22,new,
BEURRE DE KARITE,beurre de karite,T12,2.3.1,10,new,
BEURRES DE KARITE,beurres de karite,T12,2.3.2,16,new,
BEURRES VEGETALES ET MARGARINES,beurres vegetales et margarines,T12,2.3.2,16,new,
BEURRES VEGETAUX ET MARGARINES,beurres vegetaux et margarines,T12,2.3.1,9,new,
BIJOUTERIE FANTAISIE (SANS PIERRES NI METAUX PRECIEUX),bijouterie fantaisie sans pierres ni metaux precieux,T12,2.3.2,16,new,
BISCUITS,biscuits,T12,2.3.1,10,new,
BLEU D’OUTRE MER,bleu doutre mer,T12,2.3.1,13,new,
BOUCHONS ET CAPSULES,bouchons et capsules,T12,2.3.1,15,new,
BRIQUES REFRACTAIRES,briques refractaires,T12,2.3.1,12,new,
CAOUTCHOUC NATUREL,caoutchouc naturel,T12,2.3.1,8,new,
CAOUTCHOUC PLAQUE OU ROULEAUX,caoutchouc plaque ou rouleaux,T12,2.3.2,17,new,
CAOUTCHOUC PLAQUES OU ROULEAUX,caoutchouc plaques ou rouleaux,T12,2.3.1,15,new,
CARTONNAGE EN ROULEAU OU EN PLAQUE,cartonnage en rouleau ou en plaque,T12,2.3.1,15,new,
CARTONNAGE EN ROULEAU OU NE PLAQUE,cartonnage en rouleau ou ne plaque,T12,2.3.2,17,new,
CHAUFFE EAU ET MATERIELS DE CHAUFFAGE,chauffe eau et materiels de chauffage,T12,2.3.2,17,new,
CHAUFFE EEAU ET MATERIELS DE CHAUFFAGE,chauffe eeau et materiels de chauffage,T12,2.3.1,14,new,
CHAUX VIVE,chaux vive,T12,2.3.1,12,new,
CHLORURE DE POTASSIUM,chlorure de potassium,T12,2.3.1,12,new,
"CIRE, CIRAGE",cire cirage,T12,2.3.1,8,new,
COFFRE – FORT,coffre fort,T12,2.3.2,17,new,
CORDES CORDAGES FICELLES,cordes cordages ficelles,T12,2.3.1,15,new,
CUIRS ET PEAUX TRAVAILLEES SAUF MAROQUINERIE,cuirs et peaux travaillees sauf maroquinerie,T12,2.3.2,18,new,
CUIRS ET PEAUX TRAVAILLES SAUF MAROQUINERIE,cuirs et peaux travailles sauf maroquinerie,T12,2.3.1,15,new,
EMBALLAGES VIDES EN CARTON,emballages vides en carton,T12,2.3.1,15,new,
FERREUX NDA,ferreux nda,T12,2.3.1,11,new,
FILS ET MATIERES TEXTILES NATURELLES OU ARTIFICIELLES NDA,fils et matieres textiles naturelles ou artificielles nda,T12,2.3.1,15,new,
FRUITS FRAIS NDA,fruits frais nda,T12,2.3.1,8,new,
FRUITS SECS,fruits secs,T12,2.3.1,8,new,
GOMMES VEGETAL,gommes vegetal,T12,2.3.2,19,new,
GOMMES VEGETALES,gommes vegetales,T12,2.3.1,8,new,
HEXANE,hexane,T12,2.3.1,13,new,
HUILES COMESTIBLES EMBALLEES NDA,huiles comestibles emballees nda,T12,2.3.1,10,new,
HUILES DE GRAISSAGE ET AUTRES HUILES INDUSTRIELLES NDA,huiles de graissage et autres huiles industrielles nda,T12,2.3.1,11,new,
HUILES DE GRAISSAGE ET AUTRESHUILES INDUSTRIELLES NDA,huiles de graissage et autreshuiles industrielles nda,T12,2.3.3,28,new,
"INSECTICIDES, PESTICIDES",insecticides pesticides,T12,2.3.1,13,new,
LEGUMES SECS,legumes secs,T12,2.3.1,8,new,
LEVURES,levures,T12,2.3.1,9,new,
MACHINES AGRICOLES,machines agricoles,T12,2.3.1,14,new,
MATERIAUX DE CONSTRUCTION ET CARRELAGE NDA,materiaux de construction et carrelage nda,T12,2.3.1,12,new,
"MATERIEL SANITAIRE EN FAIENCE, PORCELAINE",materiel sanitaire en faience porcelaine,T12,2.3.1,14,new,
MATIERES CHIMIQUES NDA,matieres chimiques nda,T12,2.3.3,28,new,
MATIRES CHIMIQUES NDA,matires chimiques nda,T12,2.3.1,13,new,
NDA,nda,T12,2.3.2,22,new,
NEUTRAL SOLVANT,neutral solvant,T12,2.3.1,13,new,
PAPIER BITUME,papier bitume,T12,2.3.1,15,new,
